Accident Ref No.,Casualty Class,Sex of Casualty
10BA0002613,Passenger,Male
10CA0002543,Passenger,Female
10CA0002652,Driver,Male
10CA0002652,Driver,Male
10CA0002652,Passenger,Male
10MU0002547,Driver,Male
10AA0002579,Pedestrian,Male
10BA0002535,Driver,Male
10BA0002535,Driver,Female
10CA0002596,Pedestrian,Female
10CA0002609,Driver,Female
10CA0002609,Passenger,Male
10DA0002623,Driver,Male
10AA0002551,Passenger,Male
10AA0002551,Driver,Male
10AA0002551,Passenger,Male
10AA0002551,Pedestrian,Female
10BA0003461,Pedestrian,Female
10CA0002624,Driver,Male
10AA0002622,Driver,Male
10BA0002584,Pedestrian,Male
10BA0002585,Pedestrian,Male
10BA0002594,Driver,Male
10BA0002610,Driver,Male
10BA0002610,Passenger,Male
10BA0002610,Passenger,Male
10BA0002610,Passenger,Female
10BA0003100,Pedestrian,Male
10CA0002597,Driver,Female
10CA0002617,Driver,Male
10CA0002649,Passenger,Female
10CA0002649,Passenger,Male
10CA0002649,Pedestrian,Female
10AA0002660,Driver,Female
10AA0002660,Driver,Female
10BA0002741,Driver,Male
10AA0002863,Passenger,Male
10BA0002631,Passenger,Female
10BA0003585,Driver,Female
10BA0003585,Passenger,Female
10AA0002708,Driver,Female
10AA0002708,Driver,Female
10AA0002718,Driver,Male
10BA0002830,Driver,Male
10AA0002690,Driver,Male
10AA0002736,Passenger,Male
10AA0002736,Passenger,Female
10AA0002736,Passenger,Male
10AA0002736,Passenger,Female
10BA0002693,Driver,Male
10BA0003376,Driver,Female
10BA0003376,Driver,Female
10CA0002731,Pedestrian,Male
10CA0002735,Driver,Male
10CA0002738,Pedestrian,Female
10CA0002787,Driver,Female
10CA0002814,Passenger,Female
10MU0002737,Driver,Female
10AA0002745,Driver,Male
10CA0002727,Pedestrian,Male
10BA0002809,Passenger,Female
10BA0003816,Pedestrian,Female
10BA0003816,Pedestrian,Female
10BA0157603,Driver,Female
10BA0157603,Passenger,Male
10CA0002832,Pedestrian,Male
10AA0002828,Driver,Male
10AA0002828,Passenger,Male
10AA0003148,Driver,Male
10BA0002812,Driver,Male
10AA0002821,Driver,Male
10BA0002835,Driver,Female
10BA0002859,Driver,Male
10BA0002864,Passenger,Male
10CA0002829,Pedestrian,Female
10CA0160378,Pedestrian,Male
10AA0002817,Driver,Male
